id,img_warm,img_cool,img_low_res,img_mid_res,img_high_res,img_bright_low,img_bright_medium,img_bright_high,img_bright_very_high,img_bedroom,img_kitchen,img_bathroom,img_living_room,img_dining_room,img_balcony,img_not_a_room
1894944,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1901845,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1901877,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
1904291,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1911182,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1912704,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1919184,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1928474,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1954182,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1957337,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1964479,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2015074,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2016153,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2018017,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2047730,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2074047,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2080427,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2084758,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2137009,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2148417,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2175600,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2234721,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2235666,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2255109,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2272303,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2345576,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2384332,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2400486,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2419757,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2450249,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2476314,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2477880,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2480621,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2497346,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2514858,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2518607,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2529643,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2535685,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2540979,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2638773,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2639773,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2648251,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2697739,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2704035,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2739228,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2754846,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2761156,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2763386,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2780062,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
